mod,category,status,version,filename,local_path,sha1,size_bytes,modrinth_slug,source
Xaero's Minimap,client-only,DOWNLOADED_VERIFIED,neoforge-26.2-26.5.0,xaerominimap-neoforge-26.2-26.5.0.jar,client-only/xaerominimap-neoforge-26.2-26.5.0.jar,8dc3c963edeb93d676f0ac70286b2db2a4fe6540,2170949,xaeros-minimap,modrinth
Xaero's World Map,client-only,DOWNLOADED_VERIFIED,neoforge-26.2-1.46.0,xaeroworldmap-neoforge-26.2-1.46.0.jar,client-only/xaeroworldmap-neoforge-26.2-1.46.0.jar,67ae16f098c2956a3cffec8acc9af0366c9c1c4a,1445615,xaeros-world-map,modrinth
Sodium,client-only,DOWNLOADED_VERIFIED,mc26.2-0.9.2-neoforge,sodium-neoforge-0.9.2+mc26.2.jar,client-only/sodium-neoforge-0.9.2+mc26.2.jar,e0a7838c8f733fecf0f2cb729e3439f70c21809f,1209565,sodium,modrinth
Punchy!,client-only,DOWNLOADED_VERIFIED,2.7e,punchy-2.7e-neoforge-26.2.jar,client-only/punchy-2.7e-neoforge-26.2.jar,57d2fb33417c879c71811bbf3f3e1fb7fd726300,2050005,punchy-fpa,modrinth
Dynamic Lights,client-only,DOWNLOADED_VERIFIED,4.12.4+26.2,lambdynamiclights-4.12.4+26.2.jar,client-only/lambdynamiclights-4.12.4+26.2.jar,c842011792dbaf95bb6243df1ad7f39c576f944d,1344429,lambdynamiclights,modrinth
AmbientSounds 6,client-only,DOWNLOADED_VERIFIED,6.3.6,AmbientSounds_NEOFORGE_v6.3.6_mc26.2.jar,client-only/AmbientSounds_NEOFORGE_v6.3.6_mc26.2.jar,b76bd47406c7848ca631f0b13f3ad105a84cea81,84813650,ambientsounds,modrinth
RPG-HUD,client-only,DOWNLOADED_VERIFIED,3.13,[26.2][NeoForge] RPG-HUD 3.13.jar,client-only/26.2NeoForge RPG-HUD 3.13.jar,5316c6dea43a55c7c44550ba74451ba41d206292,221321,rpg-hud,modrinth
Particular Reforged,client-only,DOWNLOADED_VERIFIED,1.5.7,particular-26.2-NeoForge-1.5.7.jar,client-only/particular-26.2-NeoForge-1.5.7.jar,2935af27f8e828f808c30b45be4db7aeee93711a,281469,particular-reforged,modrinth
Let Me Despawn,server-only,DOWNLOADED_VERIFIED,1.26.9.1,letmedespawn-neoforge-26.2-1.26.9.1.jar,server-only/letmedespawn-neoforge-26.2-1.26.9.1.jar,fc2de9fb126f71826debbb49af102463f83fac1f,23014,lmd,modrinth
DarkMobs,server-only,DOWNLOADED_VERIFIED,1.2.7,darkmobs-neoforge-26.1-1.2.7.jar,server-only/darkmobs-neoforge-26.1-1.2.7.jar,4f280c9750add56fd379d280323bcfc719268d9d,17662,darkmobs,modrinth
